"lng","lat","name","type","area_km2"
0.133171489018748,51.5749758803041,"St Chad's Park","Public Park Or Garden",0.141324263015963
0.106001894401948,51.5774470445564,NA,"Other Sports Facility",0.149271675867982
0.11809536676331,51.5588805664138,"Goodmayes Park","Public Park Or Garden",0.296552302138045
0.100622209987609,51.5923283879875,"Fairlop Waters","Public Park Or Garden",1.25617886982916
0.103055559270533,51.600330584138,"Fairlop Oak Sports Centre","Other Sports Facility",0.121659777994042
-0.131915340050629,51.5022235158237,NA,"Play Space",0.147058159212476
-0.132157741334646,51.502213006695,"St James's Park","Public Park Or Garden",0.229258702709229
-0.0530400481465774,51.4942655536911,"Southwark Park","Public Park Or Garden",0.265950077351239
-0.17831373345441,51.5062641791681,"Kensington Gardens","Public Park Or Garden",1.06732561306094
-0.161838606790221,51.5063078574203,"Hyde Park","Public Park Or Garden",1.29726681186505
-0.142305355320448,51.5034926965639,"Green Park","Public Park Or Garden",0.190084790743245
-0.107366916963107,51.4826745673991,"Kennington Park","Public Park Or Garden",0.154282135274772
-0.078390527668968,51.4833055923236,"Burgess Park","Public Park Or Garden",0.454792119633647
-0.155584883552995,51.4786893197668,"Festival Pleasure Gardens","Public Park Or Garden",0.802773351587868
-0.0922888861107621,51.4642632833161,"Ruskin Park","Public Park Or Garden",0.147260420140944
-0.0240044301412445,51.4597230858632,"Hilly Fields Park","Public Park Or Garden",0.183905294471279
-0.0626909499463692,51.4599813434768,NA,"Playing Field",0.104787255203453
-0.0598371820364119,51.4576752446123,"Peckham Rye Park","Public Park Or Garden",0.394499770135748
-0.147797365153873,51.4584700928848,"Clapham Common","Public Park Or Garden",0.758083787924647
-0.399700392302381,51.5081987526616,"Minet Country Park","Public Park Or Garden",0.496267614065132
-0.730582063311875,51.5006496705664,"Ockwells Park","Public Park Or Garden",0.260357410849197
-0.709004983394425,51.5106700518461,"Braywick Park","Public Park Or Garden",0.163774028590649
-0.713945402876499,51.5125303412507,"Braywick Sports Ground","Other Sports Facility",0.176566528017255
-0.487816521122802,51.4888537371198,"Harmondsworth Moor","Public Park Or Garden",0.868739763604838
-0.491377473908666,51.5007091310809,"Thorney Country Park","Public Park Or Garden",0.210084972443121
-0.612368203835195,51.4861640207934,"South Meadow","Public Park Or Garden",0.157055197062219
-0.597520242853453,51.4892784580178,"The Home Park","Playing Field",0.302918257476512
-0.597110518817843,51.4972742801514,"Agars Plough","Other Sports Facility",0.394729339492905
-0.578962442423828,51.4983251152676,"Upton Court Park","Public Park Or Garden",0.507090592942311
-0.580546190878147,51.50276356841,"Lascelles Playing Fields","Playing Field",0.126631764314386
-0.572066396472874,51.4938490408725,NA,"Playing Field",0.17855045259162
-0.559451218822372,51.4913729364661,"Ditton Park","Public Park Or Garden",0.850566152356034
-0.555846861738129,51.4991176532631,"Kedermister Park","Public Park Or Garden",0.106253795485374
-0.623463643146484,51.4967761081585,"Eton Great Common","Public Park Or Garden",0.101467013385968
-0.648941664360584,51.4971449920551,"Dorney Common","Public Park Or Garden",0.660776136180124
-0.415685594843845,51.4886691261367,"Cranford Park","Public Park Or Garden",0.605176798294465
-0.411527762033139,51.484541747735,"Avenue Park","Public Park Or Garden",0.204825328003603
-0.44132258647886,51.490349156818,NA,"Other Sports Facility",0.132809920009674
-0.444332803345478,51.4421319422211,"Bedfont Lakes","Public Park Or Garden",1.05258479489705
-0.682590682877925,51.4415635368119,"Polo Club","Other Sports Facility",0.543376142569907
-0.491656338472507,51.4347829179798,"Shortwood Common","Public Park Or Garden",0.202399086590846
-0.612841497707293,51.4342549627084,"Windsor Great Park","Public Park Or Garden",28.5641404264387
-0.649893545725767,51.4676437874452,"Dower Park","Public Park Or Garden",0.119443996332569
-0.594889634037259,51.4737792913259,"Frogmore House Garden","Public Park Or Garden",0.154632586392112
-0.737373370688853,51.4072055811195,"The Parks","Public Park Or Garden",0.186728636891409
-0.72439889063326,51.4143290798003,"Lily Hill Park","Public Park Or Garden",0.235390030552745
-0.749764147999494,51.3956265088499,NA,"Public Park Or Garden",0.134119789091806
-0.48606406162362,51.4006494973098,"Laleham Park","Public Park Or Garden",0.236656527467289
-0.544367520307671,51.403539873607,NA,"Playing Field",0.108270659492798
-0.620296539796057,51.4054908969774,NA,"Other Sports Facility",0.198144674560033
-0.847121338724963,51.4717833281864,"Stanlake Park","Public Park Or Garden",0.263396314313611
-0.851893679607234,51.4120162430393,NA,"Public Park Or Garden",0.198527552213188
-0.835586468676503,51.4185378491538,NA,"Playing Field",0.123220930127105
-0.83535220138891,51.4214420696326,"Cantley Recreation Ground","Playing Field",0.13165495522451
-0.832665606307769,51.5156892191632,"Cayton Park","Public Park Or Garden",0.524873116276016
-0.776407442881602,51.5575300161845,"Bisham Abbey National Sports Centre","Other Sports Facility",0.14583328824241
-0.788052186678976,51.4880038241569,"Shottesbrooke Park","Public Park Or Garden",0.461155780641101
-0.842595450613776,51.5144193521794,"Camp Mohawk","Other Sports Facility",0.190960205722142
-0.878448222293569,51.4434953655929,"Dinton Pastures Country Park","Public Park Or Garden",1.44158335232732
-0.884144579414002,51.4613528302939,"Ashenbury Park","Public Park Or Garden",0.287214378967507
-0.908898094375877,51.4671027641332,NA,"Other Sports Facility",0.130369065895758
-0.937272636611004,51.4518039618414,"Palmer Park","Other Sports Facility",0.196687643436646
